"lb" "ub" "rho"
154101 154200 1.02
186301 186400 1.02
238501 238600 2.04
741401 741500 0
741701 741800 0
742801 742900 2.04
765001 765100 0
887601 887700 0
888101 888200 101
944501 944600 5.101
1011301 1011400 2.04
1300301 1300400 1.02
1332301 1332400 0
1516601 1516700 0
1516701 1516800 0
1555601 1555700 0
1588401 1588500 2.04
1611601 1611700 35.707
1629301 1629400 0
1780501 1780600 0
1965701 1965800 0
1965801 1965900 2.04
1970901 1971000 63.253
2139201 2139300 66.313
2380801 2380900 0
2423201 2423300 2.04
2482901 2483000 0
2494101 2494200 1.02
2775201 2775300 1.02
2936801 2936900 1.02
2954101 2954200 0
2954501 2954600 58.152
2956601 2956700 1.02
2962601 2962700 0
2962701 2962800 0
2962801 2962900 0
2964001 2964100 1.02
2964301 2964400 0
2964701 2964800 0
2965201 2965300 1.02
2965701 2965800 0
3021501 3021600 2.04
3050101 3050200 0
3050201 3050300 42.848
3051501 3051600 2.04
3051701 3051800 7.141
3051801 3051900 3.061
3065201 3065300 1.02
3103601 3103700 78.556
3125201 3125300 3.061
3164001 3164100 0
3234901 3235000 6.121
3239901 3240000 0
3261501 3261600 95.899
3262401 3262500 0
3265301 3265400 70.394
3266401 3266500 0
3275701 3275800 6.121
3276101 3276200 4.081
3299101 3299200 2.04
3299401 3299500 0
3299701 3299800 2.04
3302101 3302200 0
3307401 3307500 0
3307801 3307900 4.081
3308801 3308900 8.162
3309801 3309900 0
3335601 3335700 76.515
3375201 3375300 5.101
3375301 3375400 0
3377601 3377700 3.061
3378501 3378600 4.081
3379101 3379200 0
3380501 3380600 3.061
3381101 3381200 37.747
3381501 3381600 0
3387401 3387500 0
3387501 3387600 0
3387701 3387800 1.02
3387801 3387900 2.04
3388501 3388600 0
3401001 3401100 15.303
3401101 3401200 0
3407601 3407700 4.081
3408101 3408200 2.04
3408901 3409000 8.162
3409101 3409200 24.485
3409501 3409600 7.141
3410301 3410400 0
3410901 3411000 2.04
3413401 3413500 39.788
3414001 3414100 19.384
3421701 3421800 27.545
3423101 3423200 0
3425401 3425500 19.384
3427501 3427600 24.485
3427801 3427900 2.04
3430701 3430800 57.131
3431501 3431600 1.02
3431701 3431800 9.182
3434801 3434900 87.737
3436001 3436100 0
3436901 3437000 2.04
3437201 3437300 78.556
3437901 3438000 1.02
3438101 3438200 3.061
3440501 3440600 46.929
3442401 3442500 2.04
3445201 3445300 15.303
3448601 3448700 5.101
3448901 3449000 0
3451901 3452000 0
3461401 3461500 0
3461901 3462000 83.657
3466401 3466500 2.04
3467601 3467700 0
3468601 3468700 2.04
3500701 3500800 9.182
3501601 3501700 2.04
3501701 3501800 0
3501901 3502000 4.081
3534901 3535000 3.061
3545901 3546000 3.061
3556201 3556300 3.061
3560101 3560200 23.465
3580001 3580100 86.717
3581901 3582000 0
3582301 3582400 0
